"diagnosis_procedure"	"total_paid"	"percent_rank_total_paid"	"avg_paid_per_claim"	"mean_count_per_claim"	"claim_count"
"S83.004_99456"	35832.5	0.991075	895.8125	1.47826086956522	40
"S13.4XX_99361"	37315.35	0.991415	193.34378238342	1.11752577319588	193
"S68.118_L7499"	68246.06	0.99529	34123.03	3.16666666666667	2
"M75.51_99456"	36375	0.9912	826.704545454545	1.55555555555556	44
"M65.872_97110"	73401.35	0.995654	606.622727272727	1.12556561085973	121
"S93.324_28615"	145083.81	0.997941	2901.6762	2.8	50
"S62.617_99456"	51617.5	0.993711	716.909722222222	1.23287671232877	72
"S06.0X0_99213"	600387.45	0.999648	251.313290079531	1.0394960844399	2389
"S61.432_99203"	73072.03	0.995629	153.190838574424	1.12295081967213	477
"M75.122_J3490"	95297.91	0.996685	2443.53615384615	3.15909090909091	39
"Z02.71_99456"	418719.85	0.999424	753.093255395683	1.6465661641541	556
"M86.462_J0878"	33497.95	0.990518	16748.975	1.35384615384615	2
"H91.93_V5261"	108961.16	0.997142	5188.62666666667	1.04761904761905	21
"S88.911_E1399"	72047.41	0.995562	24015.8033333333	1	3
"S86.112_99456"	47116.5	0.993129	888.990566037736	1.87096774193548	53
"T78.40X_A0427"	54062.24	0.994043	478.426902654867	1.15929203539823	113
"S62.512_26727"	34741.75	0.990819	1447.57291666667	1.6	24
"S02.2XX_99456"	136454.01	0.997796	858.201320754717	2.24257425742574	159
"S61.402_99204"	43439.53	0.992597	220.505228426396	1.1	197
"S83.511_C1762"	84801.81	0.996242	942.242333333333	1.84615384615385	90
"S09.90X_A0427"	340208.14	0.999264	505.509866270431	1.12184249628529	673
"G89.4_J7799"	177794.3	0.99839	1269.95928571429	1.31001589825119	140
"S43.004_99456"	110187	0.997185	903.172131147541	1.61184210526316	122
"S76.312_97530"	47187.82	0.993139	294.923875	1.16134185303514	160
"S43.491_29806"	378372.56	0.999363	4068.52215053763	1.49462365591398	93
"S22.080_L8699"	36644.74	0.991269	9161.185	2.5	4
"S32.009_97799"	133174.95	0.997721	14797.2166666667	1.13793103448276	9
"S83.241_E0673"	43994.05	0.992682	297.257094594595	1.7843137254902	148
"G82.21_E0466"	41763.96	0.992305	41763.96	1	1
"S83.512_27427"	40263.92	0.992034	2013.196	1.9	20
"S52.501_25605"	49536.69	0.993473	669.41472972973	1.06756756756757	74
"M51.16_63650"	37556.57	0.991471	3414.23363636364	3.07692307692308	11
"M65.4_97799"	36025	0.991126	18012.5	1	2
"M79.641_99456"	37402.5	0.991432	733.382352941176	1.48148148148148	51
"M75.121_20610"	40734.89	0.99211	103.915535714286	1.10920770877944	392
"J44.9_99199"	52341.16	0.993818	26170.58	11	2
"S33.5XX_72132"	45510.63	0.992899	325.075928571429	1.07638888888889	140
"S67.41X_97799"	61333.72	0.99477	30666.86	1.61904761904762	2
"S82.201_99214"	36178.38	0.991163	298.994876033058	1.05204460966543	121
"T85.193_L8699"	95294.84	0.996684	23823.71	2.75	4
"M79.642_97799"	46137.5	0.992986	9227.5	1.09677419354839	5
"S62.634_26546"	39483.97	0.99188	5640.56714285714	1.71428571428571	7
"M65.341_26055"	65636.91	0.9951	1112.49	1.52542372881356	59
"M25.512_20610"	106826.68	0.997078	100.875051935788	1.15847860538827	1059
"S83.421_99456"	44956.5	0.992825	761.974576271186	1.58730158730159	59
"G82.51_S5126"	75556	0.995768	75556	1.13636363636364	1
"S92.101_99456"	32267.5	0.99017	921.928571428571	1.76190476190476	35
"S02.19X_97799"	40250	0.992032	20125	1	2
"S67.193_99456"	95173	0.996679	755.34126984127	1.61151079136691	126
"M65.311_99456"	53144.03	0.993932	857.161774193548	1.58904109589041	62
"M51.15_63685"	34422.34	0.990737	34422.34	4	1
"G89.4_62370"	204672.83	0.998656	760.865539033457	1.1734693877551	269
"M65.832_97110"	36412.01	0.991209	662.036545454545	1.15102974828375	55
"S56.811_99456"	38013	0.99157	844.733333333333	1.51851851851852	45
"S06.890_99199"	621264.01	0.999662	207088.003333333	1.2068511198946	3
"S68.613_26951"	48834.97	0.993361	1436.32264705882	2.14285714285714	34
"S62.616_99456"	46717.5	0.993068	741.547619047619	1.3134328358209	63
"S83.281_29882"	44551.57	0.992772	1392.2365625	1.34375	32
"S52.121_24666"	71846.94	0.995542	1941.80918918919	1.27027027027027	37
"M23.322_29881"	45664.44	0.992914	1234.17405405405	1.51351351351351	37
"S02.2XX_30450"	70335.37	0.995443	3197.06227272727	1.27272727272727	22
"Z89.511_L5301"	248582.17	0.998919	4213.25711864407	1.22368421052632	59
"W46.0XX_99204"	34722.73	0.990812	226.945947712418	1.1437908496732	153
"Z89.512_L5987"	272292.55	0.999024	8509.1421875	1.02941176470588	32
"S48.012_L7180"	42036.61	0.992357	42036.61	1	1
"S61.512_99456"	33272.5	0.990468	756.193181818182	1.45833333333333	44
"S62.600_99456"	63447.5	0.994916	746.441176470588	1.51648351648352	85
"S82.109_E2402"	33670	0.990555	33670	1	1
"T67.5XX_99204"	52542.95	0.993843	214.461020408163	1.11382113821138	245
"Z98.89_97799"	37489.36	0.991451	12496.4533333333	1.06521739130435	3
"S67.22X_99456"	124029.5	0.997531	765.614197530864	1.5	162
"S78.119_L5999"	111906.8	0.997232	55953.4	1	2
"M65.841_99203"	37941.86	0.991553	151.162788844622	1.07058823529412	251
"S83.105_E1399"	40250.83	0.992033	40250.83	1.22222222222222	1
"M20.012_99203"	34352.82	0.99072	169.225714285714	1.08928571428571	203
"M54.12_63650"	68405.04	0.995306	5261.92615384615	3.26666666666667	13
"S46.012_97750"	94022.55	0.996623	696.463333333333	1.6984126984127	135
"S62.605_99213"	34707.6	0.990809	242.71048951049	1.10835913312693	143
"M75.51_73221"	64036.44	0.99496	296.465	1.07373271889401	216
"S68.111_97799"	33957.94	0.990622	11319.3133333333	1.92592592592593	3
"S52.502_25400"	37672.76	0.991494	4185.86222222222	1.55555555555556	9
"S92.012_97799"	68737.22	0.99534	17184.305	1.03703703703704	4
"S50.812_99203"	35652.12	0.991035	153.672931034483	1.06896551724138	232
"R20.2_95909"	39768.68	0.991936	211.535531914894	1.0952380952381	188
"S62.90X_97799"	37729.65	0.991509	18864.825	1.17073170731707	2
"S72.001_99199"	36944	0.991336	12314.6666666667	1	3
"S52.539_99214"	46559.3	0.993047	475.094897959184	1.04054054054054	98
"M25.571_97799"	115367.5	0.997324	16481.0714285714	2.00621118012422	7
"S83.512_C1762"	81015.63	0.996074	835.212680412371	1.82474226804124	97
"S83.512_29882"	153682.29	0.998096	985.142884615384	1.86624203821656	156
